dataset_label,dataset_size,method,n_seeds,eval_loss_mean,eval_loss_std,rouge1_mean,rouge1_std,rouge2_mean,rouge2_std,rougeL_mean,rougeL_std
1K,1000,easy_to_hard,3,2.552282969156901,0.006752584439432005,0.24570564960512586,0.0019423607440360816,0.10147932163700346,0.0020630358205717386,0.2109799787243367,0.004418199255099066
1K,1000,hard_to_easy,3,2.5204869906107583,0.024764040384759527,0.22132181494683237,0.00776168321194561,0.08874595730908204,0.012080441886725234,0.1863489554514927,0.0059839151883532915
3K,3000,easy_to_hard,3,2.578822056452433,0.038881545694083974,0.21968061498240796,0.0033324727980433215,0.09833886735506306,0.0012378276191961283,0.19156884276534591,0.0027104508010769367
3K,3000,hard_to_easy,3,2.490990241368612,0.02148349918218595,0.20400549868107523,0.019603289851404405,0.0821737101488693,0.012658578907652315,0.17560097787927537,0.01562538454475645
5K,5000,easy_to_hard,3,2.5235683917999268,0.04906915881930251,0.20885708273449327,0.004672839556905599,0.07460602668690387,0.001210869983040061,0.18324540970796094,0.004186409884760373
5K,5000,hard_to_easy,3,2.4838925997416177,0.054220899369594476,0.22545761460898564,0.02614789285920849,0.0962658579928995,0.009162691674317597,0.19243954450386339,0.018658148742024348
