Block,Method,exp_ids,N,Seeds,Mean Eval Loss,Std Eval Loss,95% CI Eval,Mean Train Loss,Std Train Loss,95% CI Train,Mean Gap,Std Gap,Mean Phase2 ΔEval,Std Phase2 ΔEval
1k_short,Random,exp_012_random_only_multiseed,3,"13,21,42",9.616399129231771,0.0001284643317367,0.0001453710763585,38.77010006374783,0.0402405627412047,0.045536483472714,-29.153700934516056,0.0401746926852832,-0.0013834635416666,4.788673415540199e-05
1k_short,Grouped,exp_013_grouped_only_multiseed,3,"13,21,42",9.61652692159017,0.0002104496546978,0.0002381462029896,38.722209506564674,0.0837623097954453,0.0947859765323565,-29.105682584974502,0.0835597124600989,-0.0013230641682942,8.784853845934995e-05
1k_short,Grouped→Random,exp_014_grouped_to_random_multiseed,3,"13,21,42",9.616591453552246,1.2615925364802315e-05,1.4276263494671894e-05,38.77133009168837,0.0400122531062912,0.0452781267995293,-29.15473863813612,0.0399998467654619,-0.0013119379679361,1.7593503445970804e-05
1k_short,Random→Grouped,exp_015_random_to_grouped_multiseed,3,"13,21,42",9.616386731465658,9.03947098320946e-05,0.0001022912437075,38.722546895345054,0.0831830448658367,0.0941304765567949,-29.106160163879395,0.0832254205445971,-0.0013634363810221,4.101169185096776e-05
1k_long,Random,exp_018_random_only_multiseed_long,3,"13,21,42",9.611108779907228,0.000186715695399,0.0002112886997211,38.76033053927952,0.0311043830412146,0.035197922886772,-29.149221759372285,0.0311648383194345,-0.0040413538614908,0.0001013291115781
1k_long,Grouped,exp_019_grouped_only_multiseed_long,3,"13,21,42",9.611552556355797,0.0001081246875671,0.0001223546022469,38.722173394097226,0.0390061166308879,0.0441395761962948,-29.11062083774143,0.0390194214722027,-0.0038159688313802,5.832506621969102e-05
1k_long,Grouped→Random,exp_020_grouped_to_random_multiseed_long,3,"13,21,42",9.611759503682457,0.0002109611514159,0.0002387250160147,38.76272142198351,0.0306420812419167,0.0346747791529599,-29.150961918301054,0.030848937650293,-0.0037781397501627,0.000112817427827
1k_long,Random→Grouped,exp_021_random_to_grouped_multiseed_long,3,"13,21,42",9.611469268798828,0.0002447879672933,0.0002770036616699,38.722423977322045,0.0384578559896063,0.0435191608757879,-29.11095470852322,0.0386526844976247,-0.0038032531738281,0.0001240106685421
3k_long,Random,exp_022_random_only_multiseed_3k,3,"13,21,42",11.423059145609535,0.0022963785111432,0.0025985969130768,45.43341644050539,0.0138279569371229,0.0156478063335813,-34.010357294895854,0.0150291887796885,-0.0338093439737955,0.0013143114182638
3k_long,Grouped,exp_023_grouped_only_multiseed_3k,3,"13,21,42",11.425052642822266,0.000682492412063,0.0007723128685359,45.453193368837816,0.0286119754808432,0.0323774982219871,-34.02814072601555,0.0286454169864135,-0.0329030354817708,0.0002804537652963
3k_long,Grouped→Random,exp_024_grouped_to_random_multiseed_3k,3,"13,21,42",11.424866358439129,0.0012658248687931,0.0014324156843394,45.44240410383357,0.0230918040287895,0.0261308361733076,-34.01753774539445,0.0218887931664529,-0.0332724253336588,0.0007560714903866
3k_long,Random→Grouped,exp_025_random_to_grouped_multiseed_3k,3,"13,21,42",11.425841649373371,0.0006842879601409,0.0007743447224615,45.455506317375246,0.0282731170475779,0.0319940438069678,-34.02966466800187,0.0288849883796093,-0.0323476791381835,0.0004602316053799
5k_long,Random,exp_026_random_only_multiseed_5k,3,"13,21,42",11.341803868611654,0.0040302878389019,0.0045607000266553,45.12238576826355,0.0202823690663914,0.0229516612309574,-33.7805818996519,0.0163408377147768,-0.0782492955525716,0.0017021578054971
5k_long,Grouped,exp_027_grouped_only_multiseed_5k,3,"13,21,42",11.346779187520346,0.0025083908611327,0.0028385114722592,45.171566063249614,0.0436151397381803,0.0493551768304198,-33.82478687572927,0.0411153031539645,-0.0753548940022786,0.0011277828172106
5k_long,Grouped→Random,exp_028_grouped_to_random_multiseed_5k,3,"13,21,42",11.344831148783364,0.0009995714022504,0.0011311215236005,45.13616887840307,0.0020913645944953,0.0023666018267468,-33.7913377296197,0.0030801204730393,-0.0772275924682617,0.0003038002844653
5k_long,Random→Grouped,exp_029_random_to_grouped_multiseed_5k,3,"13,21,42",11.343379974365234,0.0028954750596629,0.0032765384780513,45.15890305926543,0.0289300332213193,0.0327374144372673,-33.81552308490019,0.0311464533220836,-0.0758380889892578,0.0010205170782708
