exp_ids,Method,N,Seeds,Mean Eval Loss,Std Eval Loss,95% CI Eval,Mean Train Loss,Std Train Loss,95% CI Train,Mean Gap,Std Gap,Mean Phase2 ΔEval,Std Phase2 ΔEval
"exp_013_grouped_only_multiseed,exp_019_grouped_only_multiseed_long,exp_023_grouped_only_multiseed_3k,exp_027_grouped_only_multiseed_5k",Grouped,12,"13,13,13,13,21,21,21,21,42,42,42,42",10.499977827072144,0.9257859754682346,0.5238127265055942,42.01728558318733,3.443481748805396,1.9483332123299117,-31.517307756115187,2.5178001125760106,-0.02834924062093099,0.03117460467420959
"exp_014_grouped_to_random_multiseed,exp_020_grouped_to_random_multiseed_long,exp_024_grouped_to_random_multiseed_3k,exp_028_grouped_to_random_multiseed_5k",Grouped→Random,12,"13,13,13,13,21,21,21,21,42,42,42,42",10.499512116114298,0.9251781305809474,0.5234688058844794,42.028156123977126,3.4080998636555595,1.9283140262325311,-31.52864400786283,2.4829528190540744,-0.028897523880004883,0.03196874021031119
"exp_012_random_only_multiseed,exp_018_random_only_multiseed_long,exp_022_random_only_multiseed_3k,exp_026_random_only_multiseed_5k",Random,12,"13,13,13,13,21,21,21,21,42,42,42,42",10.498092730840048,0.9241531554604511,0.5228888716159829,42.02155820294907,3.403165119409419,1.9255219318320176,-31.523465472109024,2.4790435167187503,-0.029370864232381184,0.03234798597667924
"exp_015_random_to_grouped_multiseed,exp_021_random_to_grouped_multiseed_long,exp_025_random_to_grouped_multiseed_3k,exp_029_random_to_grouped_multiseed_5k",Random→Grouped,12,"13,13,13,13,21,21,21,21,42,42,42,42",10.499269406000773,0.9252128434977888,0.5234884465661245,42.01484506232694,3.440766466242686,1.9467968965937752,-31.51557565632617,2.515662028203023,-0.028338114420572918,0.0313460034463427
